user_id,age
1515,
1677,
4342,
6047,
6154,
6395,
6836,
7614,
8086,
8166,
8182,
8187,
8256,
8554,
8794,25.0
8873,
8943,
9010,23.0
9185,
9264,
10000,
10221,
10805,25.0
11668,
13024,23.0
13524,
14006,
14186,
17429,
17650,
17661,
18399,
19126,
19265,
19557,
19717,
20346,
20502,25.0
20900,23.0
21105,
21304,
21475,
21498,
21597,
21600,22.0
21652,
22079,9.0
22090,24.0
22791,
23022,
23099,
23302,
23929,
24036,
24251,
25286,
26158,
28712,24.0
29391,22.0
29499,23.0
29731,25.0
29824,27.0
29878,23.0
30555,22.0
30668,29.0
33016,26.0
33383,22.0
33589,22.0
34022,21.0
34296,25.0
34908,27.0
35540,26.0
37195,26.0
37209,26.0
37517,22.0
37602,23.0
37748,25.0
37750,22.0
37751,22.0
37876,22.0
38060,25.0
38571,21.0
39466,26.0
39862,21.0
40133,23.0
40163,51.0
40479,24.0
40925,27.0
41111,25.0
42017,26.0
42225,23.0
42664,22.0
43078,23.0
43453,22.0
45013,22.0
45230,26.0
45604,26.0
45615,21.0
45706,22.0
46066,26.0
46253,23.0
46283,25.0
49858,29.0
50156,26.0
54082,53.0
56301,28.0
56524,21.0
57039,27.0
57340,24.0
57680,35.0
57914,25.0
58066,21.0
60661,24.0
60937,23.0
60956,36.0
61368,21.0
62254,24.0
63259,28.0
63717,32.0
63986,28.0
64774,22.0
65202,21.0
65610,24.0
66397,25.0
66750,22.0
66944,24.0
67058,26.0
67931,20.0
68087,24.0
68974,27.0
69358,21.0
69568,22.0
69936,34.0
70607,21.0
70808,21.0
70950,22.0
71028,54.0
71145,21.0
71195,30.0
71250,23.0
71572,21.0
71645,25.0
72492,27.0
72562,21.0
72794,21.0
72826,21.0
72914,30.0
73262,21.0
73327,21.0
73410,21.0
73482,22.0
73494,23.0
73677,24.0
73707,21.0
73731,21.0
73738,24.0
73865,24.0
74084,21.0
74246,20.0
74428,22.0
74488,25.0
75349,41.0
75351,52.0
75559,22.0
75576,22.0
75705,21.0
75770,21.0
75796,24.0
75823,21.0
75945,21.0
76931,21.0
77171,50.0
77262,22.0
77472,21.0
77539,21.0
78202,20.0
78548,21.0
78875,33.0
79024,29.0
79163,23.0
79254,22.0
79374,21.0
79539,24.0
79768,21.0
80475,21.0
80690,50.0
80961,21.0
81272,24.0
81399,26.0
81804,21.0
82360,25.0
82612,23.0
82688,25.0
83544,21.0
83752,22.0
83855,21.0
84548,21.0
84701,25.0
84919,28.0
85148,20.0
85594,21.0
86283,21.0
86488,32.0
86880,21.0
86968,22.0
87481,23.0
87635,21.0
87743,22.0
87869,25.0
88114,23.0
88154,22.0
89226,26.0
90226,20.0
90249,22.0
90539,24.0
90841,21.0
90880,21.0
91041,29.0
91339,20.0
92103,21.0
92398,19.0
93185,25.0
93253,23.0
93489,25.0
93498,25.0
93602,20.0
94131,21.0
94291,24.0
94413,21.0
94754,21.0
95062,21.0
96566,25.0
96880,24.0
96950,24.0
97143,29.0
97363,29.0
97571,25.0
97697,4.0
98060,25.0
98129,16.0
98706,21.0
99364,22.0
99370,21.0
99777,21.0
100176,22.0
100226,34.0
100231,25.0
100235,31.0
100271,23.0
100402,26.0
105219,20.0
108554,20.0
108697,27.0
109153,27.0
109215,21.0
111603,20.0
111685,21.0
111800,21.0
112047,20.0
112048,21.0
112349,27.0
113035,26.0
113136,25.0
114843,24.0
115031,27.0
115476,27.0
115580,19.0
115854,24.0
116413,31.0
116438,20.0
117025,24.0
117297,21.0
118170,27.0
119070,21.0
120259,25.0
121266,23.0
121333,21.0
123568,29.0
123580,31.0
125552,34.0
126546,21.0
127264,23.0
128165,28.0
131380,24.0
132338,22.0
132383,25.0
132410,18.0
133255,23.0
133269,23.0
134275,27.0
135040,43.0
137830,19.0
138211,22.0
140098,24.0
141215,22.0
142857,21.0
144433,23.0
146495,21.0
146728,25.0
146917,26.0
147188,24.0
148360,24.0
148371,25.0
150026,21.0
156678,26.0
157324,29.0
159093,19.0
159247,20.0
159696,19.0
159880,24.0
161194,24.0
161705,25.0
162817,26.0
163107,34.0
165207,31.0
166246,23.0
166429,20.0
166524,23.0
169131,29.0
169933,28.0
170912,24.0
172099,25.0
174673,24.0
175154,23.0
175917,27.0
177505,23.0
177653,23.0
178284,24.0
180267,23.0
181045,24.0
181219,23.0
181230,27.0
181296,24.0
181297,20.0
182479,20.0
182510,21.0
182577,21.0
182798,20.0
183749,20.0
183850,23.0
184090,20.0
184289,20.0
184528,21.0
184656,24.0
184695,20.0
184994,24.0
185013,23.0
185021,21.0
185041,20.0
